threshold,trigger_rate,trigger_rate_ci,leakage_rate,blocked_leakage,blocked_leakage_ci,false_positive_rate,false_positive_rate_ci
0.5,0.691304347826087,"(0.6347826086956522, 0.7521739130434782)",0.9347826086956522,0.7395348837209302,"(0.6824644549763034, 0.7981220657276995)",0.0,"(0.0, 0.0)"
0.55,0.6391304347826087,"(0.5782608695652174, 0.6957608695652173)",0.9347826086956522,0.6837209302325581,"(0.6237516688918558, 0.7464804958784967)",0.0,"(0.0, 0.0)"
0.6000000000000001,0.5478260869565217,"(0.48695652173913045, 0.6086956521739131)",0.9347826086956522,0.586046511627907,"(0.5217391304347826, 0.6509488810881966)",0.0,"(0.0, 0.0)"
0.6500000000000001,0.4782608695652174,"(0.41739130434782606, 0.5434782608695652)",0.9347826086956522,0.5116279069767442,"(0.44593366093366094, 0.5787037037037037)",0.0,"(0.0, 0.0)"
0.7000000000000002,0.39565217391304347,"(0.3347826086956522, 0.45652173913043476)",0.9347826086956522,0.4232558139534884,"(0.35776524804621135, 0.4882683195949893)",0.0,"(0.0, 0.0)"
0.7500000000000002,0.3130434782608696,"(0.2565217391304348, 0.3740217391304347)",0.9347826086956522,0.33488372093023255,"(0.2714815832875206, 0.4018275508897708)",0.0,"(0.0, 0.0)"
0.8000000000000003,0.2608695652173913,"(0.20434782608695654, 0.3217391304347826)",0.9347826086956522,0.27906976744186046,"(0.22062029712521705, 0.34126623661576266)",0.0,"(0.0, 0.0)"
0.8500000000000003,0.16956521739130434,"(0.12608695652173912, 0.2217391304347826)",0.9347826086956522,0.1813953488372093,"(0.13360142596295974, 0.23585560796645702)",0.0,"(0.0, 0.0)"
0.9000000000000004,0.10434782608695652,"(0.06521739130434782, 0.14347826086956522)",0.9347826086956522,0.11162790697674418,"(0.07239003709591946, 0.15311950595304327)",0.0,"(0.0, 0.0)"
0.9500000000000004,0.030434782608695653,"(0.008695652173913044, 0.05652173913043478)",0.9347826086956522,0.03255813953488372,"(0.009478672985781991, 0.059367538016840506)",0.0,"(0.0, 0.0)"
