threshold,trigger_rate,trigger_rate_ci,leakage_rate,blocked_leakage,blocked_leakage_ci,false_positive_rate,false_positive_rate_ci
0.4,0.9,"(0.8565217391304348, 0.9347826086956522)",0.9347826086956522,0.9441860465116279,"(0.9094816008595219, 0.9724770642201835)",0.26666666666666666,"(0.04983695652173914, 0.5295098039215685)"
0.45,0.8782608695652174,"(0.8347826086956521, 0.9173913043478261)",0.9347826086956522,0.9209302325581395,"(0.8796296296296297, 0.956942925495557)",0.26666666666666666,"(0.04983695652173914, 0.5295098039215685)"
0.5,0.8217391304347826,"(0.7739130434782608, 0.8695652173913043)",0.9347826086956522,0.8744186046511628,"(0.8310486204900637, 0.9185740172846389)",0.06666666666666667,"(0.0, 0.23076923076923078)"
0.55,0.8043478260869565,"(0.7565217391304347, 0.8565217391304348)",0.9347826086956522,0.8604651162790697,"(0.815668202764977, 0.9082668048694424)",0.0,"(0.0, 0.0)"
0.6,0.7130434782608696,"(0.6565217391304348, 0.7695652173913043)",0.9347826086956522,0.7627906976744186,"(0.7050691244239631, 0.818625645994832)",0.0,"(0.0, 0.0)"
0.6499999999999999,0.5956521739130435,"(0.5347826086956522, 0.6608695652173913)",0.9347826086956522,0.6372093023255814,"(0.5767441860465117, 0.702373075663282)",0.0,"(0.0, 0.0)"
0.7,0.5434782608695652,"(0.4826086956521739, 0.6086956521739131)",0.9347826086956522,0.5813953488372093,"(0.5184663536776213, 0.6478938445487742)",0.0,"(0.0, 0.0)"
0.75,0.48695652173913045,"(0.43032608695652175, 0.5479347826086955)",0.9347826086956522,0.5209302325581395,"(0.45533685064935064, 0.5860667103395567)",0.0,"(0.0, 0.0)"
0.7999999999999999,0.3739130434782609,"(0.3130434782608696, 0.4391304347826087)",0.9347826086956522,0.4,"(0.3393330571665286, 0.4654456789344107)",0.0,"(0.0, 0.0)"
0.8499999999999999,0.3,"(0.24782608695652175, 0.36097826086956514)",0.9347826086956522,0.3209302325581395,"(0.265102721868808, 0.38787642782969883)",0.0,"(0.0, 0.0)"
0.8999999999999999,0.1956521739130435,"(0.14347826086956522, 0.25217391304347825)",0.9347826086956522,0.20930232558139536,"(0.15347060723514214, 0.2688679245283019)",0.0,"(0.0, 0.0)"
0.9499999999999998,0.09565217391304348,"(0.06086956521739131, 0.13054347826086946)",0.9347826086956522,0.10232558139534884,"(0.06420558798999167, 0.14218063828862124)",0.0,"(0.0, 0.0)"
