threshold,trigger_rate,trigger_rate_ci,leakage_rate,blocked_leakage,blocked_leakage_ci,false_positive_rate,false_positive_rate_ci
0.5,0.7260869565217392,"(0.6694565217391305, 0.782608695652174)",0.8913043478260869,0.8146341463414634,"(0.7597946725860155, 0.8634146341463415)",0.0,"(0.0, 0.0)"
0.55,0.7,"(0.6391304347826087, 0.7565217391304347)",0.8913043478260869,0.7853658536585366,"(0.7281553398058253, 0.8325123152709359)",0.0,"(0.0, 0.0)"
0.6000000000000001,0.6652173913043479,"(0.6043478260869565, 0.7217391304347827)",0.8913043478260869,0.7463414634146341,"(0.6862537972935653, 0.8)",0.0,"(0.0, 0.0)"
0.6500000000000001,0.5956521739130435,"(0.5304347826086957, 0.6565217391304348)",0.8913043478260869,0.6682926829268293,"(0.6030652151613068, 0.726840354767184)",0.0,"(0.0, 0.0)"
0.7000000000000002,0.5391304347826087,"(0.47391304347826085, 0.6001086956521738)",0.8913043478260869,0.6048780487804878,"(0.5377252886510842, 0.6650491243554606)",0.0,"(0.0, 0.0)"
0.7500000000000002,0.5260869565217391,"(0.45652173913043476, 0.591304347826087)",0.8913043478260869,0.5902439024390244,"(0.5223718364698248, 0.6512990196078431)",0.0,"(0.0, 0.0)"
0.8000000000000003,0.4652173913043478,"(0.39565217391304347, 0.5304347826086957)",0.8913043478260869,0.5219512195121951,"(0.450973487986744, 0.5865594660194174)",0.0,"(0.0, 0.0)"
0.8500000000000003,0.40869565217391307,"(0.3391304347826087, 0.4782608695652174)",0.8913043478260869,0.4585365853658537,"(0.38724689624593556, 0.5273866516474233)",0.0,"(0.0, 0.0)"
0.9000000000000004,0.34347826086956523,"(0.27391304347826084, 0.40869565217391307)",0.8913043478260869,0.3853658536585366,"(0.31342529775365596, 0.4519457547169811)",0.0,"(0.0, 0.0)"
0.9500000000000004,0.24347826086956523,"(0.18695652173913044, 0.30434782608695654)",0.8913043478260869,0.2731707317073171,"(0.21105527638190955, 0.33668341708542715)",0.0,"(0.0, 0.0)"
