threshold,trigger_rate,trigger_rate_ci,leakage_rate,blocked_leakage,blocked_leakage_ci,false_positive_rate,false_positive_rate_ci
0.4,0.8652173913043478,"(0.8216304347826088, 0.9044565217391304)",0.8913043478260869,0.9512195121951219,"(0.919037935748462, 0.9764178625210381)",0.16,"(0.037003968253968254, 0.30775862068965515)"
0.45,0.8391304347826087,"(0.7869565217391304, 0.8826086956521739)",0.8913043478260869,0.926829268292683,"(0.8878036336485814, 0.9603960396039604)",0.12,"(0.0, 0.2608695652173913)"
0.5,0.8130434782608695,"(0.7607608695652175, 0.8608695652173913)",0.8913043478260869,0.9024390243902439,"(0.8605625, 0.9397208816359022)",0.08,"(0.0, 0.20689655172413793)"
0.55,0.7913043478260869,"(0.7347826086956522, 0.8391304347826087)",0.8913043478260869,0.8780487804878049,"(0.8317295792079208, 0.9186699703804967)",0.08,"(0.0, 0.20689655172413793)"
0.6,0.7347826086956522,"(0.6782608695652174, 0.7869565217391304)",0.8913043478260869,0.8195121951219512,"(0.7669697628363039, 0.8669950738916257)",0.04,"(0.0, 0.13793103448275862)"
0.6499999999999999,0.6695652173913044,"(0.6086956521739131, 0.7260869565217392)",0.8913043478260869,0.7463414634146341,"(0.6859903381642513, 0.8009714775636381)",0.04,"(0.0, 0.13793103448275862)"
0.7,0.6434782608695652,"(0.5782608695652174, 0.7043478260869566)",0.8913043478260869,0.7170731707317073,"(0.6566820026083177, 0.7751318706966974)",0.04,"(0.0, 0.13793103448275862)"
0.75,0.6,"(0.5347826086956522, 0.6608695652173913)",0.8913043478260869,0.6682926829268293,"(0.604804641250296, 0.7246612740141557)",0.04,"(0.0, 0.13793103448275862)"
0.7999999999999999,0.5434782608695652,"(0.4782608695652174, 0.6043478260869565)",0.8913043478260869,0.6048780487804878,"(0.5391589394378441, 0.6650491243554606)",0.04,"(0.0, 0.13793103448275862)"
0.8499999999999999,0.46956521739130436,"(0.39565217391304347, 0.5347826086956522)",0.8913043478260869,0.526829268292683,"(0.45319032914246504, 0.5904979395604395)",0.0,"(0.0, 0.0)"
0.8999999999999999,0.39565217391304347,"(0.32608695652173914, 0.4608695652173913)",0.8913043478260869,0.44390243902439025,"(0.36998645320197043, 0.5123152709359606)",0.0,"(0.0, 0.0)"
0.9499999999999998,0.30434782608695654,"(0.24347826086956523, 0.36086956521739133)",0.8913043478260869,0.34146341463414637,"(0.27582826233941854, 0.4020100502512563)",0.0,"(0.0, 0.0)"
